"","logFC","logCPM","PValue","FDR"
"15643",-0.403719926515718,9.22224820683221,0.0216602406413973,0.50387593695454
"18016",-0.183893320182582,8.4540562027115,0.0241136583899113,0.547243432115054
"3703",0.191046124569277,7.41381296763057,0.0241760906335578,0.547243432115054
"56567",0.172187527920642,8.37714456359765,0.0243768543533704,0.547243432115054
"36925",-0.265378050176067,7.17403961998247,0.0244316454379604,0.547243432115054
"19996",0.221883791854218,7.14240880897918,0.0248212115041178,0.547243432115054
"6625",-0.292200076015043,7.68924749779272,0.0249238854153082,0.547243432115054
"33658",-0.26356397023703,9.31766140930437,0.0250648184323843,0.547243432115054
"55020",-0.239065243014759,8.32487901423528,0.0251193706544615,0.547243432115054
"23815",0.196035295158026,7.48739805722494,0.0260367080542918,0.558175276949911
"3288",-0.341446127255042,9.23945785623355,0.026148935724635,0.558175276949911
"10345",-0.217283668962187,11.2086694718947,0.0264322400805529,0.558175276949911
"54394",0.199980389358762,8.93631057255178,0.0264345304202144,0.558175276949911
"35525",-0.224877348759342,7.47128075068257,0.0277063393617879,0.580564133955021
"1127",0.180231342339213,9.67220028843134,0.0282293776384615,0.587042739527097
"56398",0.166514482336359,8.29219318451459,0.0284815853596389,0.587834224151945
"32718",0.167946620803968,8.51698941120556,0.0292683338123333,0.594750934492129
"49092",0.249126337335158,7.13427259946279,0.0292868587736078,0.594750934492129
"46773",-0.174756043738957,8.22493148252071,0.029790479550805,0.594750934492129
"3583",0.186198434672367,7.51835989697925,0.0299360465496995,0.594750934492129
"56463",0.187578307100529,7.69377315895073,0.0300834147002026,0.594750934492129
"56701",0.215474468031733,10.2839126064806,0.0301167139870331,0.594750934492129
"21689",0.178695352497659,7.71999776375953,0.030523913333506,0.5984867292891
"49618",0.185784986836044,7.91993513856607,0.0308066495736713,0.599746475742751
"337",0.17823740496446,7.39172908190867,0.031095334936653,0.601103481697975
"38798",-0.156622838807213,8.21065761905735,0.0315051951035358,0.604767556358083
"4879",-0.215856397440216,7.96804429848862,0.0326505285734441,0.622400700931278
"7148",-0.279194760964802,10.1384200877867,0.0334326675243099,0.632914981753316
