num,logFC,logCPM,PValue
970,0.150534842,8.41839274,0.050024227
975,-0.216553824,8.561562301,0.015498671
979,0.044265567,8.047152925,0.667992919
1002,0.102695454,8.720027435,0.187699634
1025,-0.104345621,7.749724249,0.20076575
1035,0.11935343,8.879379673,0.154907296
1038,0.005317566,9.361343902,0.948271718
1042,-0.013230577,8.122887017,0.862788754
1044,0.022115061,8.116920172,0.793754863
1050,-0.063028534,9.081978139,0.415927055
1055,-0.046702949,8.870524133,0.543816391
1056,-0.029692244,8.739152165,0.760209213
1060,-0.058938392,7.741463203,0.558647543
1070,-0.040146827,9.266081304,0.616085318
1074,0.240786814,9.526545817,0.007514817
1075,0.010456402,7.397251993,0.907699298
1085,-0.130698598,8.970678382,0.100085461
1127,0.180231342,9.672200288,0.028229378
1130,0.113004619,7.845428042,0.242451709
1136,0.055534732,7.441960492,0.495765312
1141,0.024627907,7.912967862,0.760943884
1144,0.193440433,7.231177654,0.034739174
1147,0.004780629,7.192965804,0.960346458
1157,-0.003406836,7.219375954,0.981821118
1159,0.032722111,8.517593835,0.724360953
1187,0.008503536,7.355703792,0.919374292
1207,0.078376109,7.794280743,0.366655295
1227,0.006490574,7.526303221,0.940795785
1228,-0.101735317,7.23004057,0.397473431
1229,0.10728366,8.205480746,0.151166669
1240,0.096914357,8.374010102,0.225326155
1261,-0.026830566,7.784408617,0.746629659
1262,-0.027593573,7.699417366,0.721698939
1296,0.025146201,8.163495946,0.76886681
1314,-0.050503779,7.233783004,0.623649833
1327,-0.000821767,10.63782585,0.995990348
1352,-0.080103943,7.204398245,0.404806526
1360,-0.034943274,9.151534996,0.690037298
1361,0.230918977,7.19349834,0.010400876
1399,-0.023582871,7.413552983,0.790205588
1401,-0.192788238,11.02809035,0.102182526
1434,-0.006782587,8.877985471,0.932148453
1437,0.042146567,9.312281168,0.649376858
1439,0.019394455,7.401226296,0.808751901
1456,0.050530623,7.264741221,0.568217854
1457,0.083062658,7.277460292,0.375455077
1458,-0.241083911,8.026719375,0.19971428
1470,-0.020848925,7.964951153,0.797256516
1544,-0.025145558,7.465668508,0.774563328
1565,0.055381143,7.17975747,0.567977417
1572,0.041909849,7.441275459,0.62845361
1576,0.026358152,8.239940524,0.734759616
1591,0.0631557,7.451297915,0.506526497
1604,-0.035093017,7.363707511,0.677929447
1605,0.016461329,7.723034186,0.846276242
1614,0.019076854,7.148164551,0.858321986
1623,-0.018109385,7.181888681,0.853674614
1654,-0.067893774,8.218596131,0.527128733
1666,-0.097737852,7.168043419,0.32961287
1677,-0.01115799,8.668172055,0.88630196
1697,0.003636689,8.280268175,0.967180348
1704,-0.085363047,8.591932356,0.288344504
1727,-0.055130971,7.786547231,0.595794299
1749,0.024509653,8.42350562,0.750702621
1752,-0.409600655,9.727405999,0.001361862
1768,-0.051245399,7.884302892,0.554904282
1798,0.081772935,8.850982963,0.367684526
1799,-0.013037667,7.822263084,0.885715972
1822,-0.069359768,7.478570888,0.469747987
1827,-0.078548576,7.743888504,0.339307989
1839,-0.023207014,7.373657197,0.777655559
1840,-0.029502772,7.757437338,0.747429544
1852,-0.136163768,7.538061378,0.176271196
1875,-0.065267539,7.181750403,0.566331717
1885,-0.038708595,10.99710057,0.657356046
1893,0.045028722,7.51270481,0.619775568
1900,0.041255357,7.947737282,0.602120422
1908,0.094068761,7.984906631,0.328828909
1920,-0.005857162,7.472862055,0.961536001
1922,0.046027307,10.22379785,0.582690591
1937,-0.162724286,9.48178814,0.052471434
1982,0.099228337,7.611761328,0.278017292
1984,-0.142753807,8.13115463,0.086098422
2003,0.000878278,7.656777578,0.993766626
2010,0.013479306,7.748868215,0.88207092
2013,0.092229815,8.135024282,0.304369702
2022,-0.058795027,9.153462715,0.446478071
2059,-0.004137461,7.38878484,0.969089467
2093,-0.047883346,7.291056204,0.617847565
2127,0.113447224,7.678273111,0.186791235
2129,-0.093377422,8.116603508,0.384543013
2130,0.086897761,7.238181345,0.373337614
2147,0.081995583,8.039380879,0.402495068
2181,0.026716243,7.484837864,0.762132332
2190,0.013809528,7.230230592,0.907207458
2195,-0.018287941,8.247226923,0.808416302
2226,-0.129753388,11.46817486,0.111330931
2239,-0.046613694,7.759762287,0.568635866
2240,-0.121912687,7.888510467,0.247197428
2246,0.004324184,8.052770633,0.955888531
2277,0.035867064,7.427288111,0.69249327
2287,-0.004536616,7.696164151,0.9558645
2314,-0.20488601,7.112414006,0.112530752
2347,0.015889083,7.373949175,0.881755146
2359,0.093572202,7.222231972,0.337860147
2458,-0.007727884,8.144693228,0.918457131
2480,0.172486115,9.0460174,0.053871292
2481,0.089079034,7.285537243,0.424080366
2484,0.128810312,7.431407494,0.100536601
2485,-0.08770705,7.35614463,0.305389541
2492,-0.114326448,7.683909391,0.216384095
2513,-0.058728766,8.469798371,0.430358589
2526,-0.169671835,7.131710994,0.143075367
2571,-0.020537747,8.537327068,0.80036425
2594,0.058262363,8.438425472,0.590304502
2598,-0.037883487,7.193647021,0.744205389
2609,-0.048495345,9.044423797,0.567164242
2631,0.041943716,7.485125204,0.668880041
2637,0.065260904,8.008832149,0.50464871
2646,-0.011693773,8.150989129,0.913350663
2647,-0.021166242,10.76672617,0.795094851
2649,0.076623383,7.966668213,0.437749246
2675,-0.01040073,9.985595168,0.898373121
2696,0.029489311,7.279056659,0.728836675
2700,-0.061391095,8.310262927,0.426068652
2707,0.06474094,7.343206133,0.468120011
2716,-0.058067057,7.659146189,0.448269288
2751,0.113179606,9.948484471,0.230727188
2759,-0.098007045,8.488534849,0.200433717
2846,-0.096701394,7.42054076,0.229949164
2865,0.379871087,7.211896425,0.000701417
2870,0.09877777,7.847271213,0.248106364
2904,-0.169777337,7.562870925,0.039660273
2912,-0.029684787,7.805666497,0.703285422
3071,0.045181215,8.748860495,0.573371307
3076,-0.124248085,7.820639645,0.225308178
3081,0.318424329,7.139650981,0.000515605
3082,-0.035795242,7.32908455,0.722350642
3092,0.01855955,8.329183918,0.806181126
3094,-0.04766147,8.2863181,0.655737503
3102,-0.036956382,7.190887995,0.683995478
3108,-0.055229035,7.505071473,0.490652561
3128,-0.011920688,8.12992231,0.874180434
3129,0.007357946,7.948213123,0.946157667
3132,0.006814434,7.401930404,0.947028562
3135,-0.087616769,7.439666474,0.321584127
3139,-0.026021216,8.345891402,0.754374464
3140,0.108109918,8.053248371,0.150762989
3263,-0.035607037,7.992587822,0.662103086
3265,-0.040631232,9.072512208,0.631249309
3270,-0.01037406,7.947810009,0.90299998
3277,-0.046552324,7.195146983,0.619949271
3280,-0.016215951,7.78038994,0.871933857
3282,-0.081427054,7.267271737,0.444541388
3285,0.014322732,7.834275835,0.861851774
3288,-0.341446127,9.239457856,0.026148936
3295,0.050978912,8.889677545,0.498339258
3299,-0.024500687,8.768031968,0.748476551
3300,0.04222935,8.801676749,0.616510496
3303,0.133408888,7.616774318,0.254514585
3308,0.017751982,7.828409024,0.818399132
3322,0.042200134,9.349388796,0.580572838
3331,-0.181526776,7.616692139,0.038288517
3339,0.011613423,7.372344992,0.925565738
3362,-0.008734737,8.016892576,0.922778885
3364,-0.045638247,7.933475958,0.649597386
3370,0.093573769,7.729050322,0.261996919
3386,-0.002185619,7.833626691,0.979338044
3388,0.059205238,7.217819314,0.52190091
