Mock_1,Mock_2,Mock_3,dCC_MeCP2_1,dCC_MeCP2_2,dCC_MeCP2_3,dCC_scramble_1,dCC_scramble_2,dCC_scramble_3
5.512484025,3.667993203,7.241588132,3.132148195,6.751411301,7.996852783,9.525323919,19.57995345,12.38509358
0,0,0,0,0,0,0,0,0
2.20499361,1.222664401,1.206931355,0,3.000627245,1.777078396,1.905064784,8.51302324,6.192546792
335.1590287,311.7794223,345.1823676,290.2457327,453.8448708,388.2916296,341.9591287,327.7513947,309.6273396
1.102496805,7.335986406,2.413862711,13.57264218,9.752038546,8.885391981,10.47785631,6.810418592,5.16045566
0,0,0,0,0,0,0,0,0
35.27989776,44.01591844,55.51884234,41.76197593,33.75705651,52.42381269,67.62979983,54.48334874,41.28364528
0,0,0,0,0,0,0,0,0
0,0,0,3.132148195,0,0,0,0,0
0,0,0,0,0,0,0,0,0
49.61235622,35.45726763,55.51884234,53.24651932,63.76332896,63.97482226,67.62979983,55.33465106,58.82919452
0,0,0,0,0,0,0,0,0
509.3535239,460.9444792,551.5676294,406.135216,541.6132177,602.4295763,529.6080099,480.1345107,361.2318962
0,0,1.206931355,0,0.750156811,0,0,8.51302324,0
2.20499361,1.222664401,2.413862711,2.088098797,3.000627245,1.777078396,3.810129568,13.62083718,0
165.3745207,112.4851249,218.4545753,224.4706206,227.2975138,188.37031,231.4653712,197.5021392,133.139756
0,0,1.206931355,1.044049398,2.250470434,0,0,0,0
273.4192076,308.1114291,301.7328388,345.5803509,394.5824827,345.6417481,338.1489991,254.5393949,366.3923519
0,0,0,0,0,0,0,0,0
17.63994888,2.445328802,13.27624491,16.70479037,12.75266579,6.219774387,7.620259135,0,7.224637924
353.9014744,319.1154087,387.4249651,427.0162039,349.573074,368.7437672,333.3863372,304.766232,276.6004234
1320.791172,1066.163358,1179.171934,1175.599623,1339.780065,1237.735103,1155.421791,1181.607626,1102.273329
449.8186964,377.8032999,499.6695811,403.0030678,528.8605519,419.3905015,501.0320382,509.0787898,429.3499109
0,6.113322005,7.241588132,4.176197593,9.752038546,5.331235188,4.76266196,0,0
3.307490415,0,0,1.044049398,5.251097679,1.777078396,0.952532392,5.107813944,2.064182264
1631.695271,1403.618732,1597.977114,1426.171478,1609.08636,1560.274832,1620.257599,1615.771811,1406.740213
