,logFC,logCPM,PValue,FDR
41519,0.127727517,9.172403563,0.131651436,0.964826448
5256,0.133183674,7.615565709,0.131714944,0.964826448
33090,0.134532672,7.3046032,0.131936927,0.964826448
34852,-0.148544541,7.490044239,0.132326619,0.964826448
51088,-0.139239493,8.819882965,0.132370727,0.964826448
788,-0.173153564,8.746739317,0.132757835,0.964826448
45414,-0.133354766,7.633055838,0.132788743,0.964826448
22715,-0.161106941,7.189596901,0.133035406,0.964826448
28250,0.174999566,7.867613193,0.133377021,0.964826448
56971,-0.137547167,8.77547352,0.133754177,0.964826448
17280,0.128969118,8.837362355,0.134877855,0.964826448
27404,0.145288265,10.64027566,0.13522214,0.964826448
48576,0.119935673,7.448032216,0.135533568,0.964826448
53950,-0.147650509,7.514564352,0.135703048,0.964826448
10345,0.146001532,11.20866947,0.13575361,0.964826448
24292,-0.170648656,7.405958389,0.135939209,0.964826448
44697,-0.162431414,7.628965431,0.136035386,0.964826448
31691,0.130523469,7.792575047,0.136529707,0.964826448
31760,-0.164301771,7.807893613,0.136542036,0.964826448
24556,-0.123061344,10.00754766,0.136774818,0.964826448
57591,-0.143522588,9.633550271,0.137038311,0.964826448
3288,0.227912085,9.239457856,0.137552506,0.964826448
49550,-0.134230648,7.224374568,0.138081156,0.964826448
120,-0.226778203,7.086504446,0.138473679,0.964826448
3676,0.123157296,8.079460133,0.138693596,0.964826448
41513,0.138531649,7.260512477,0.138870415,0.964826448
39383,-0.126081736,9.593108202,0.139588636,0.964826448
37215,0.109622164,8.211672861,0.139698084,0.964826448
970,-0.11326737,8.41839274,0.140158982,0.964826448
32475,0.141836013,9.420039455,0.140194809,0.964826448
29824,-0.107947169,8.165404929,0.140291967,0.964826448
23438,-0.114732709,7.43634743,0.14032416,0.964826448
6129,-0.118537526,8.729089916,0.140856776,0.964826448
49631,0.111036309,8.341960422,0.140920797,0.964826448
666,-0.104765445,8.408489747,0.141468521,0.964826448
37841,-0.16059739,9.466580895,0.141588149,0.964826448
33658,0.172812034,9.317661409,0.141829205,0.964826448
2480,-0.131280591,9.0460174,0.142180822,0.964826448
8176,-0.13189809,7.774653352,0.142356871,0.964826448
52492,-0.200031083,7.231902366,0.142439369,0.964826448
20547,-0.117944365,7.815714827,0.142558016,0.964826448
9993,0.125928609,7.658507892,0.14284746,0.964826448
52679,-0.161259612,9.721760331,0.143142031,0.964826448
13780,-0.145867904,8.516147402,0.143572299,0.964826448
10467,-0.115078829,8.589261457,0.144488914,0.964826448
23815,-0.12822317,7.487398057,0.145071071,0.964826448
1799,0.128628148,7.822263084,0.147564037,0.964826448
57466,0.136178266,9.465132095,0.148034167,0.964826448
52432,0.13023209,10.64285491,0.148760918,0.964826448
33533,0.129745925,7.418679412,0.148906388,0.964826448
36996,0.118532404,7.879372848,0.148941126,0.964826448
21761,0.133124928,7.909288832,0.149001414,0.964826448
41187,-0.131429937,7.314100736,0.149088452,0.964826448
14470,0.140952983,7.44396316,0.14911777,0.964826448
48600,-0.124804862,7.816854532,0.149188433,0.964826448
877,-0.222942191,7.307898154,0.149240768,0.964826448
10156,-0.114554549,8.209444612,0.150428446,0.964826448
52372,-0.146090869,7.519985259,0.150722112,0.964826448
18918,-0.145005257,7.412597276,0.151012597,0.964826448
2226,0.117000453,11.46817486,0.151067444,0.964826448
33140,0.163406429,9.538392127,0.151614472,0.964826448
20128,0.147742752,7.20354749,0.151827232,0.964826448
49271,0.109912509,8.605445655,0.152290911,0.964826448
6595,-0.153220943,8.360602923,0.153042953,0.964826448
24019,-0.126555321,7.540909436,0.153465276,0.964826448
23579,-0.144124011,7.355293048,0.153617228,0.964826448
35937,-0.175422242,7.363951636,0.1537087,0.964826448
54517,-0.231673234,8.963034931,0.153910612,0.964826448
3331,0.124994787,7.616692139,0.154202176,0.964826448
4511,0.139088847,7.3896378,0.154611162,0.964826448
44895,-0.190495086,7.157724641,0.155287609,0.964826448
23121,0.129266397,7.32021202,0.155336535,0.964826448
9974,0.11891453,11.73030783,0.155562409,0.964826448
